passenger_id,passenger_name,signup_date,total_rides,total_spent,rating
356.00,Damini Dewan,2022-12-15,76.00,107.76,3.05
357.00,Riaan Sagar,2023-01-27,40.00,717.51,4.30
358.00,Tiya Lala,2022-09-16,87.00,1351.40,4.77
359.00,Zain Seshadri,2022-11-06,84.00,1183.35,3.16
360.00,Neysa Iyengar,2022-09-27,78.00,1853.44,4.05
361.00,Lakshit Gandhi,2022-09-10,34.00,1205.96,3.37
362.00,Himmat Ramaswamy,2022-10-08,81.00,1966.41,4.13
363.00,Indrajit Grover,2023-01-03,38.00,1180.65,3.07
364.00,Aarna Rout,2023-06-16,96.00,321.92,3.82
365.00,Aarav Luthra,2023-04-24,94.00,925.57,4.23
366.00,Raghav Divan,2022-09-27,93.00,750.38,4.14
367.00,Ira Kunda,2023-04-22,40.00,561.23,4.29
368.00,Hunar Mannan,2022-12-17,58.00,988.76,4.50
369.00,Mahika Talwar,2023-03-10,89.00,881.51,4.02
370.00,Shlok Deep,2023-02-18,61.00,1189.85,3.39
371.00,Amani Kohli,2023-06-25,96.00,1310.25,3.18
372.00,Madhav Khurana,2022-10-10,60.00,1913.02,3.99
373.00,Kashvi Ghose,2023-06-01,87.00,1180.83,3.36
374.00,Saira Ramanathan,2023-02-20,48.00,138.46,4.64
375.00,Vardaniya Ramanathan,2023-05-15,41.00,274.18,4.81
376.00,Taran Talwar,2023-04-22,97.00,609.77,3.09
377.00,Zeeshan Kari,2022-09-19,60.00,1929.04,3.48
378.00,Hansh Gupta,2022-12-30,11.00,1436.99,3.77
379.00,Saira Kala,2023-05-31,83.00,1728.34,4.00
380.00,Samiha Mandal,2023-06-03,96.00,261.25,4.85
381.00,Ehsaan Chaudhuri,2022-08-25,45.00,851.53,3.29
382.00,Siya Chandra,2023-03-09,60.00,991.71,4.73
383.00,Ojas Khatri,2022-08-16,58.00,493.26,3.61
384.00,Yuvaan Ratta,2023-02-03,25.00,1934.64,3.92
385.00,Uthkarsh Sachdeva,2022-12-26,43.00,1928.04,4.63
386.00,Raghav Sem,2023-06-02,53.00,1916.41,4.91
387.00,Aaryahi Chakrabarti,2022-11-06,90.00,1796.00,4.40
388.00,Farhan Sheth,2023-01-10,42.00,1510.39,3.54
389.00,Zara Biswas,2022-11-04,21.00,1474.30,3.02
390.00,Vedika Desai,2022-08-14,66.00,922.05,4.27
391.00,Pari Grover,2022-09-28,13.00,1681.52,3.40
392.00,Anay Sampath,2023-05-04,74.00,1378.22,3.17
393.00,Siya Karnik,2023-03-08,10.00,1935.98,4.42
394.00,Lavanya Sandhu,2023-02-24,91.00,1750.39,4.46
395.00,Samaira Varghese,2023-02-08,95.00,1840.45,4.62
396.00,Indrajit Bajwa,2023-04-20,42.00,1784.66,4.77
397.00,Zaina Sule,2023-03-20,69.00,157.89,3.63
398.00,Rati Taneja,2023-03-19,23.00,1724.70,3.47
399.00,Siya Soman,2022-12-01,29.00,390.37,4.29
400.00,Aarush Chandran,2022-11-19,58.00,218.91,3.46
401.00,Hazel Johal,2022-09-12,24.00,1352.59,3.75
402.00,Riya Golla,2022-12-18,27.00,515.84,4.90
403.00,Sumer Bandi,2023-04-11,61.00,1283.78,4.67
404.00,Ryan Deshpande,2023-01-31,71.00,1205.05,3.82
405.00,Madhup Lata,2023-04-20,49.00,448.35,4.80
406.00,Nishith Manda,2023-06-21,67.00,807.67,4.07
407.00,Ishaan Dass,2023-02-16,43.00,1556.73,4.17
408.00,Vihaan Khare,2022-12-20,33.00,1158.45,4.49
409.00,Shamik Deep,2023-01-03,38.00,1993.29,3.73
410.00,Bhavin Issac,2022-10-29,16.00,1323.55,4.84
411.00,Charvi Kaur,2023-05-13,73.00,816.72,4.47
412.00,Advik Hegde,2022-11-07,51.00,936.03,4.55
413.00,Samaira Butala,2023-07-02,85.00,1063.47,3.15
414.00,Vivaan Khalsa,2023-03-29,94.00,1915.29,4.48
415.00,Azad Wali,2023-04-24,88.00,1383.23,3.65
416.00,Parinaaz Vohra,2023-01-31,23.00,1570.79,3.82
417.00,Anahi Shere,2023-04-01,44.00,1090.42,3.80
418.00,Farhan Kuruvilla,2023-06-28,83.00,1270.88,3.47
419.00,Rasha Bains,2023-02-26,88.00,823.33,4.93
420.00,Lakshay Bhatia,2023-05-31,90.00,241.63,4.88
421.00,Yuvaan Wali,2022-10-10,85.00,1685.84,4.60
422.00,Anaya Butala,2023-05-26,54.00,1953.87,3.14
423.00,Taimur Krish,2022-10-29,29.00,1853.49,4.72
424.00,Kismat Ramachandran,2022-08-29,31.00,1594.89,4.29
425.00,Advika Bhandari,2022-11-29,38.00,1638.88,3.97
426.00,Yakshit Walla,2023-03-02,96.00,688.83,3.11
427.00,Neelofar Ramakrishnan,2022-12-25,97.00,1163.13,4.20
428.00,Samarth Bajwa,2023-02-24,57.00,198.90,4.68
429.00,Fateh Chad,2022-10-13,45.00,1496.61,3.47
430.00,Parinaaz Kulkarni,2022-10-04,46.00,1979.75,3.01
431.00,Madhav Devi,2022-12-02,30.00,1433.45,4.06
432.00,Taran Dube,2023-02-19,99.00,1159.50,4.37
433.00,Eva Kumar,2023-02-03,83.00,1964.26,4.88
434.00,Neysa Chhabra,2022-12-12,66.00,1603.95,3.71
435.00,Reyansh Divan,2023-03-04,61.00,1132.29,3.34
436.00,Vardaniya Sanghvi,2023-04-12,34.00,175.96,3.34
437.00,Taimur Dua,2023-06-09,15.00,137.00,3.44
438.00,Lakshay Bath,2022-10-01,95.00,1759.28,3.36
439.00,Saksham Sibal,2023-06-05,36.00,347.21,4.40
440.00,Trisha Datta,2022-09-12,29.00,1746.33,4.58
441.00,Zain Dewan,2023-03-07,87.00,125.29,3.54
442.00,Biju Deshmukh,2023-06-04,51.00,118.13,4.38
443.00,Tushar Kothari,2023-01-11,29.00,1951.86,3.38
444.00,Krish Sarkar,2022-08-16,28.00,102.61,4.14
445.00,Ojas Choudhury,2023-02-14,67.00,1570.82,4.36
446.00,Samiha Subramaniam,2023-01-01,96.00,327.47,4.44
447.00,Farhan Gopal,2023-04-09,16.00,921.41,3.37
448.00,Prisha Mangat,2022-11-05,37.00,1234.92,3.31
449.00,Ojas Kant,2023-04-24,18.00,376.95,3.52
450.00,Rhea Trivedi,2023-06-15,27.00,1964.61,4.01
451.00,Priyansh Jhaveri,2023-06-09,79.00,250.18,4.97
452.00,Hrishita Luthra,2023-06-07,58.00,521.46,3.54
453.00,Nirvaan Krish,2022-11-24,49.00,1825.39,3.47
454.00,Ojas Sarna,2023-01-14,34.00,1339.27,4.03
455.00,Ishita Arya,2022-11-14,86.00,1626.05,4.74
456.00,Kaira Lad,2023-03-07,49.00,1572.47,3.91
457.00,Yakshit Atwal,2022-12-09,67.00,1418.76,4.71
458.00,Renee Jani,2022-11-28,47.00,939.84,4.79
459.00,Mamooty Hans,2023-06-25,52.00,363.62,3.92
460.00,Anya Dhar,2023-02-05,96.00,893.63,4.30
461.00,Nirvi Dalal,2022-12-27,15.00,244.79,4.75
462.00,Seher Kunda,2022-11-14,96.00,1826.73,3.83
463.00,Ivan Varughese,2023-02-20,86.00,522.48,4.83
464.00,Farhan Kalita,2023-01-15,68.00,1750.97,4.18
465.00,Hridaan Sama,2023-06-06,71.00,1876.24,3.43
466.00,Divit Dass,2023-03-11,85.00,1807.81,3.55
467.00,Vardaniya Deo,2022-08-16,68.00,1039.87,4.39
468.00,Urvi Jayaraman,2023-01-28,26.00,119.48,4.18
469.00,Amira Goda,2023-04-10,45.00,693.74,5.00
470.00,Kiaan Iyengar,2022-12-01,88.00,849.91,3.93
471.00,Saksham Ray,2023-03-07,41.00,1435.66,3.05
472.00,Prisha Dara,2022-08-22,93.00,648.38,4.79
473.00,Misha Comar,2022-10-17,48.00,1462.35,3.82
474.00,Badal Krishna,2023-04-06,53.00,1105.85,3.35
475.00,Anahita Kale,2023-01-20,46.00,1817.30,3.86
476.00,Ranbir Ramachandran,2022-10-06,29.00,1352.90,3.95
477.00,Saksham Malhotra,2023-02-15,20.00,1551.00,3.04
478.00,Baiju Sankar,2023-03-24,58.00,646.45,3.58
479.00,Rohan Sinha,2023-04-02,83.00,1645.99,3.48
480.00,Sumer Kakar,2023-03-01,36.00,1836.77,4.73
481.00,Anahita Bhagat,2023-03-21,12.00,550.54,4.04
482.00,Onkar Shanker,2022-10-29,12.00,1299.24,4.89
483.00,Mohanlal Sunder,2023-04-24,27.00,1926.86,4.22
484.00,Shanaya Dass,2023-01-09,22.00,194.26,3.21
485.00,Tara Shankar,2022-09-16,69.00,1055.29,3.46
486.00,Ivana Borra,2023-04-15,98.00,753.20,3.36
487.00,Yuvaan Sani,2023-04-08,51.00,208.55,3.15
488.00,Kiaan Banerjee,2023-02-03,82.00,585.88,3.73
489.00,Yuvraj  Borra,2023-07-09,96.00,915.15,3.14
490.00,Neysa Das,2022-11-07,53.00,325.09,4.85
491.00,Mishti Kunda,2023-06-13,36.00,1667.14,3.32
492.00,Anya Swamy,2022-09-07,41.00,1501.54,4.03
493.00,Tushar Mahal,2022-11-21,19.00,293.96,4.53
494.00,Veer Chad,2023-04-06,58.00,1542.97,4.82
495.00,Chirag Dara,2023-03-02,50.00,1146.93,4.02
496.00,Lakshay Bala,2022-08-27,58.00,839.29,3.67
497.00,Zara Sane,2023-03-05,83.00,1318.20,3.13
498.00,Rasha Ramesh,2023-02-18,67.00,259.67,3.59
499.00,Anvi Verma,2022-10-09,76.00,1673.15,4.13
500.00,Shamik Sha,2023-03-03,31.00,1770.56,3.92
501.00,Kiaan Ravi,2023-01-13,51.00,1931.54,3.78
502.00,Kiaan Sant,2022-09-24,89.00,584.95,3.99
503.00,Parinaaz Bassi,2022-12-18,49.00,105.93,3.74
504.00,Nakul Kulkarni,2023-05-17,98.00,1277.88,4.45
505.00,Darshit Gera,2023-02-09,81.00,727.11,4.83
506.00,Aaina Deshmukh,2022-11-21,75.00,248.58,3.74
507.00,Faiyaz Suresh,2022-12-04,82.00,1025.26,3.13
508.00,Baiju Bhatnagar,2022-09-17,76.00,1260.99,3.24
509.00,Inaaya  Dara,2023-07-10,95.00,952.65,3.38
510.00,Elakshi Sabharwal,2022-08-12,87.00,427.54,4.18
511.00,Samaira Keer,2022-09-22,18.00,1480.64,3.67
512.00,Jivin Kurian,2023-06-12,55.00,506.41,3.38
513.00,Jayesh Venkataraman,2023-05-31,94.00,1791.09,4.76
514.00,Dishani Dani,2023-06-22,52.00,793.62,3.50
515.00,Manjari Loke,2022-11-01,34.00,1726.86,4.10
516.00,Ayesha Ramanathan,2023-03-25,74.00,1172.72,3.26
517.00,Aaryahi Thakur,2022-12-04,89.00,404.02,4.40
518.00,Ivana Lala,2023-07-02,23.00,1654.27,4.77
519.00,Shamik Viswanathan,2023-04-15,37.00,744.88,3.34
520.00,Manikya Dugar,2023-06-16,94.00,1966.93,3.95
521.00,Miraan Kant,2023-04-03,60.00,1066.27,3.36
522.00,Dhanuk Mangat,2023-03-19,11.00,175.72,4.39
523.00,Romil Sanghvi,2022-10-28,65.00,1125.75,4.01
524.00,Zaina Dash,2022-09-22,90.00,972.20,4.32
525.00,Aarush Zachariah,2023-06-30,52.00,860.91,4.33
526.00,Akarsh Divan,2023-05-19,81.00,437.68,4.95
527.00,Zara Kuruvilla,2023-06-28,55.00,1999.36,3.69
528.00,Kartik Walia,2023-01-18,89.00,1740.38,4.10
529.00,Myra Chakrabarti,2022-09-28,75.00,926.11,3.59
530.00,Amani Sinha,2023-02-15,92.00,189.87,4.56
531.00,Nitara Sahota,2022-09-11,98.00,1507.46,3.84
532.00,Chirag Bhattacharyya,2022-08-15,83.00,1056.86,3.00
533.00,Urvi Krishnamurthy,2022-11-20,90.00,773.64,3.95
534.00,Divit Chaudhari,2022-09-22,16.00,1644.55,3.72
535.00,Hansh Soman,2022-11-11,69.00,676.84,3.92
536.00,Eshani Tak,2023-03-02,47.00,257.53,3.96
537.00,Manjari Baria,2022-09-05,44.00,452.58,4.44
538.00,Rhea Apte,2023-04-23,31.00,833.25,3.96
539.00,Samaira Amble,2023-07-09,59.00,1460.79,4.94
540.00,Misha Chaudhry,2022-10-05,37.00,1480.82,4.78
541.00,Eshani Khalsa,2022-12-19,84.00,397.24,3.81
542.00,Tiya Dhingra,2023-07-11,16.00,190.02,4.20
543.00,Kavya Ram,2023-05-22,29.00,1331.83,4.08
544.00,Kaira Zachariah,2023-01-24,66.00,1145.24,3.51
545.00,Indrans Gera,2023-06-08,34.00,1754.35,4.76
546.00,Himmat Dutt,2023-04-27,53.00,1574.65,3.50
547.00,Biju Thakkar,2022-08-28,91.00,1690.97,4.56
548.00,Elakshi Thakkar,2022-12-27,55.00,1717.08,4.69
549.00,Tejas Gade,2022-10-08,46.00,593.56,4.85
550.00,Navya Sarin,2023-03-09,92.00,1148.60,4.23
551.00,Chirag Kapadia,2023-04-29,90.00,1782.28,4.09
552.00,Jayant Setty,2022-11-16,96.00,1598.91,4.36
553.00,Romil Srinivasan,2022-08-31,96.00,1887.85,3.69
554.00,Adira Wadhwa,2023-06-27,45.00,420.62,4.05
555.00,Lakshit Chatterjee,2022-10-08,44.00,1036.83,4.65
556.00,Rhea Bhagat,2022-12-23,87.00,1747.61,3.97
557.00,Jayant Ahuja,2023-03-06,82.00,1153.01,3.39
558.00,Mishti Sangha,2023-07-02,63.00,1522.33,3.59
559.00,Advik Sastry,2023-02-17,91.00,542.99,3.99
560.00,Nirvi Sheth,2023-02-16,86.00,413.03,4.88
561.00,Saira Uppal,2022-09-01,59.00,1879.84,4.99
562.00,Nakul Roy,2022-11-25,14.00,745.02,4.95
563.00,Umang Savant,2022-12-04,12.00,259.15,4.14
564.00,Bhamini Banik,2023-05-27,69.00,730.35,3.93
565.00,Diya Mangal,2023-01-14,44.00,333.16,4.41
566.00,Ojas Krish,2023-02-05,98.00,202.41,4.24
567.00,Kanav Chander,2022-09-27,92.00,1283.79,3.88
568.00,Darshit Kapur,2022-10-06,98.00,1037.12,4.45
569.00,Darshit Gopal,2023-03-28,23.00,918.88,3.48
570.00,Kanav Bhakta,2022-09-14,84.00,1715.78,3.31
571.00,Ranbir Shankar,2022-12-01,66.00,1993.63,3.17
572.00,Damini Sura,2022-09-18,30.00,835.54,3.07
573.00,Mohanlal Ahuja,2022-08-12,58.00,512.69,3.29
574.00,Anay Doshi,2022-11-21,50.00,367.03,4.43
575.00,Taran Dugar,2022-12-27,94.00,792.02,3.34
576.00,Aniruddh Sarin,2023-05-28,92.00,398.28,4.80
577.00,Azad Khurana,2023-06-25,59.00,1436.94,4.85
578.00,Aayush Khosla,2023-06-02,62.00,880.05,3.43
579.00,Zara Khatri,2023-02-20,81.00,1138.88,4.59
580.00,Rania Chaudhuri,2023-06-20,18.00,1810.12,3.70
581.00,Prerak Baral,2023-03-10,38.00,274.19,4.88
582.00,Ranbir Dhillon,2023-05-17,21.00,469.32,4.91
583.00,Dhruv Chopra,2023-03-23,18.00,1971.70,3.62
584.00,Trisha Bajwa,2023-03-10,21.00,406.35,3.10
585.00,Misha Shroff,2022-12-26,63.00,949.04,3.12
586.00,Ishaan Chana,2022-12-14,33.00,1973.43,3.76
587.00,Stuvan Gola,2023-05-20,10.00,785.08,3.73
588.00,Miraan Bava,2023-04-04,56.00,915.37,4.94
589.00,Anya Sarraf,2023-04-23,73.00,1905.79,3.07
590.00,Charvi Shroff,2023-03-04,16.00,308.40,4.70
591.00,Vritika Lalla,2023-03-05,24.00,1659.77,4.64
592.00,Tiya Deo,2023-04-04,99.00,369.48,4.48
593.00,Damini Rastogi,2023-04-20,77.00,1316.37,4.45
594.00,Yuvraj  Kalita,2023-05-06,70.00,1014.99,3.28
595.00,Nakul Devi,2022-12-20,92.00,112.26,4.59
596.00,Anaya Doctor,2022-09-03,62.00,1040.35,3.89
597.00,Yashvi Brar,2023-05-08,23.00,1998.11,4.97
598.00,Badal Loke,2023-03-29,64.00,1939.88,3.23
599.00,Mamooty Sodhi,2023-05-27,65.00,296.30,3.61
600.00,Aaina Kibe,2022-12-12,78.00,1740.03,3.25
601.00,Ayesha Khurana,2022-12-03,33.00,293.78,3.64
602.00,Biju Doshi,2023-03-25,16.00,1207.43,4.08
603.00,Uthkarsh Raj,2022-09-18,82.00,1151.17,3.43
604.00,Mannat Hans,2023-02-20,35.00,1773.68,4.33
605.00,Yasmin Dara,2022-10-27,29.00,991.78,4.16
606.00,Aaryahi Bal,2023-05-19,15.00,851.28,3.44
607.00,Ojas Goyal,2023-03-19,37.00,1469.18,3.03
608.00,Darshit Deep,2022-11-22,45.00,375.65,3.28
609.00,Rohan Sibal,2023-03-15,82.00,1565.91,4.28
610.00,Uthkarsh Golla,2022-10-09,26.00,1453.22,5.00
611.00,Amira Goda,2023-06-01,58.00,1252.83,3.35
612.00,Samiha Sha,2022-11-20,45.00,425.59,3.48
613.00,Jhanvi Jaggi,2023-04-20,13.00,1085.42,4.82
614.00,Fateh Doshi,2022-10-09,26.00,414.55,4.04
615.00,Mannat Swaminathan,2023-01-30,55.00,456.14,4.88
616.00,Jiya Zachariah,2023-06-08,18.00,1503.80,4.49
617.00,Jayan Arora,2023-05-14,40.00,1932.26,3.63
618.00,Vardaniya Brahmbhatt,2023-04-22,68.00,501.06,4.77
619.00,Anahita Raju,2022-12-24,25.00,762.00,4.34
620.00,Renee Soni,2023-05-06,19.00,1103.28,4.48
621.00,Gokul Ratti,2022-12-28,89.00,705.18,3.20
622.00,Yuvraj  Bhandari,2022-09-11,93.00,1681.38,4.64
623.00,Prisha Dass,2023-05-06,97.00,1888.57,3.21
624.00,Devansh Kari,2022-10-30,31.00,838.18,3.56
625.00,Ayesha Raj,2023-03-17,15.00,1310.12,3.88
626.00,Kashvi Savant,2022-09-26,40.00,1047.07,4.98
